experiment,axis_sweep,op,dimension,density,sparse_factor,buffer_size,timing_source,d1,d2,num_nodes,num_edges,num_spaces,num_pieces,n,median_us,median_ms,min_us,max_us,speedup_cpu_over_gpu,gpu_tiles_median,gpu_tiles_min,gpu_tiles_max,gpu_oom_backoffs_median,gpu_oom_backoffs_min,gpu_oom_backoffs_max,gpu_host_fallback_median,gpu_host_fallback_min,gpu_host_fallback_max,gpu_input_rects_median,gpu_input_rects_min,gpu_input_rects_max,gpu_scratch_bytes_median,gpu_scratch_bytes_min,gpu_scratch_bytes_max
tile_sweep_dense_axes,log_axis,image,2d,dense,1,10,gpu_source,2,2,1000,1000,4,1,3,89653,89.653,89291,90236,2.795243884755669,4,4,4,5,5,5,1,1,1,4,4,4,194000012,194000012,194000012
tile_sweep_dense_axes,log_axis,image,2d,dense,1,15,cpu_source,2,2,1000,1000,4,1,3,256199,256.199,249006,258564,4.269342931893549,,,,,,,,,,,,,,,
tile_sweep_dense_axes,log_axis,image,2d,dense,1,15,gpu_source,2,2,1000,1000,4,1,3,60009,60.009,59600,60240,4.269342931893549,2,2,2,2,2,2,1,1,1,2,2,2,290000019,290000019,290000019
tile_sweep_dense_axes,log_axis,image,2d,dense,1,20,cpu_source,2,2,1000,1000,4,1,3,248821,248.821,248528,249659,4.0756920556920555,,,,,,,,,,,,,,,
tile_sweep_dense_axes,log_axis,image,2d,dense,1,20,gpu_source,2,2,1000,1000,4,1,3,61050,61.05,59923,61564,4.0756920556920555,2,2,2,2,2,2,1,1,1,2,2,2,386000025,386000025,386000025
tile_sweep_dense_axes,log_axis,image,2d,dense,1,25,cpu_source,2,2,1000,1000,4,1,3,249932,249.932,248719,256111,77.98190327613105,,,,,,,,,,,,,,,
tile_sweep_dense_axes,log_axis,image,2d,dense,1,25,gpu_source,2,2,1000,1000,4,1,3,3205,3.205,3173,3309,77.98190327613105,1,1,1,0,0,0,0,0,0,1,1,1,482000032,482000032,482000032
tile_sweep_dense_axes,log_axis,image,2d,dense,1,30,cpu_source,2,2,1000,1000,4,1,3,250522,250.522,248804,251474,78.60746783809225,,,,,,,,,,,,,,,
tile_sweep_dense_axes,log_axis,image,2d,dense,1,30,gpu_source,2,2,1000,1000,4,1,3,3187,3.187,3121,3236,78.60746783809225,1,1,1,0,0,0,0,0,0,1,1,1,578000038,578000038,578000038
tile_sweep_dense_axes,log_axis,image,2d,dense,1,40,cpu_source,2,2,1000,1000,4,1,3,250326,250.326,249819,252973,75.5131221719457,,,,,,,,,,,,,,,
