experiment,op,dimension,density,sparse_factor,buffer_size,repeat,timing_source,time_us,time_ms,selected_field,gpu_tiles,gpu_oom_backoffs,gpu_host_fallback,gpu_input_rects,gpu_scratch_bytes,tile_rows_seen,d1,d2,num_nodes,num_edges,num_spaces,num_pieces,global_index,shard_id,field_mode,block_volume
tile_sweep_publication,image,2d,dense,1,3,1,gpu_source,123480,123.48,gpu_us,8,14,1,8,59600003,2,2,2,1000,1000,4,1,65,1,block_random,1024
tile_sweep_publication,image,2d,dense,1,4,1,cpu_source,251148,251.148,cpu_us,,,,,,,2,2,1000,1000,4,1,66,2,block_random,1024
tile_sweep_publication,image,2d,dense,1,4,1,gpu_source,124411,124.411,gpu_us,8,14,1,8,78800005,2,2,2,1000,1000,4,1,67,3,block_random,1024
tile_sweep_publication,image,2d,dense,1,5,1,cpu_source,251539,251.539,cpu_us,,,,,,,2,2,1000,1000,4,1,68,0,block_random,1024
tile_sweep_publication,image,2d,dense,1,5,1,gpu_source,124569,124.569,gpu_us,8,14,1,8,98000006,2,2,2,1000,1000,4,1,69,1,block_random,1024
tile_sweep_publication,image,2d,dense,1,7,1,cpu_source,253147,253.147,cpu_us,,,,,,,2,2,1000,1000,4,1,70,2,block_random,1024
tile_sweep_publication,image,2d,dense,1,7,1,gpu_source,90799,90.799,gpu_us,4,5,1,4,136400008,2,2,2,1000,1000,4,1,71,3,block_random,1024
tile_sweep_publication,image,2d,dense,1,10,1,cpu_source,251705,251.705,cpu_us,,,,,,,2,2,1000,1000,4,1,72,0,block_random,1024
tile_sweep_publication,image,2d,dense,1,10,1,gpu_source,89291,89.291,gpu_us,4,5,1,4,194000012,2,2,2,1000,1000,4,1,73,1,block_random,1024
tile_sweep_publication,image,2d,dense,1,15,1,cpu_source,258564,258.564,cpu_us,,,,,,,2,2,1000,1000,4,1,74,2,block_random,1024
tile_sweep_publication,image,2d,dense,1,15,1,gpu_source,60009,60.009,gpu_us,2,2,1,2,290000019,2,2,2,1000,1000,4,1,75,3,block_random,1024
tile_sweep_publication,image,2d,dense,1,20,1,cpu_source,248528,248.528,cpu_us,,,,,,,2,2,1000,1000,4,1,76,0,block_random,1024
tile_sweep_publication,image,2d,dense,1,20,1,gpu_source,61050,61.05,gpu_us,2,2,1,2,386000025,2,2,2,1000,1000,4,1,77,1,block_random,1024
tile_sweep_publication,image,2d,dense,1,25,1,cpu_source,256111,256.111,cpu_us,,,,,,,2,2,1000,1000,4,1,78,2,block_random,1024
tile_sweep_publication,image,2d,dense,1,25,1,gpu_source,3173,3.173,gpu_us,1,0,0,1,482000032,2,2,2,1000,1000,4,1,79,3,block_random,1024
tile_sweep_publication,image,2d,dense,1,30,1,cpu_source,248804,248.804,cpu_us,,,,,,,2,2,1000,1000,4,1,80,0,block_random,1024
tile_sweep_publication,image,2d,dense,1,30,1,gpu_source,3187,3.187,gpu_us,1,0,0,1,578000038,2,2,2,1000,1000,4,1,81,1,block_random,1024
tile_sweep_publication,image,2d,dense,1,40,1,cpu_source,249819,249.819,cpu_us,,,,,,,2,2,1000,1000,4,1,82,2,block_random,1024
tile_sweep_publication,image,2d,dense,1,40,1,gpu_source,3306,3.306,gpu_us,1,0,0,1,770000051,2,2,2,1000,1000,4,1,83,3,block_random,1024
tile_sweep_publication,image,2d,dense,1,50,1,cpu_source,251143,251.143,cpu_us,,,,,,,2,2,1000,1000,4,1,84,0,block_random,1024
tile_sweep_publication,image,2d,dense,1,50,1,gpu_source,3125,3.125,gpu_us,1,0,0,1,962000064,2,2,2,1000,1000,4,1,85,1,block_random,1024
tile_sweep_publication,image,2d,dense,1,75,1,cpu_source,250540,250.54,cpu_us,,,,,,,2,2,1000,1000,4,1,86,2,block_random,1024
tile_sweep_publication,image,2d,dense,1,75,1,gpu_source,3190,3.19,gpu_us,1,0,0,1,1442000096,2,2,2,1000,1000,4,1,87,3,block_random,1024
tile_sweep_publication,image,2d,dense,1,100,1,cpu_source,249991,249.991,cpu_us,,,,,,,2,2,1000,1000,4,1,88,0,block_random,1024
tile_sweep_publication,image,2d,dense,1,100,1,gpu_source,3381,3.381,gpu_us,1,0,0,1,1922000128,2,2,2,1000,1000,4,1,89,1,block_random,1024
tile_sweep_publication,image,2d,sparse,5,1,1,cpu_source,20100234,20100.234,cpu_us,,,,,,,2,2,1000,1000,4,1,90,2,block_random,1024
tile_sweep_publication,image,2d,sparse,5,1,1,gpu_source,2107,2.107,gpu_us,1,0,0,1,38202417,2,2,2,1000,1000,4,1,91,3,block_random,1024
tile_sweep_publication,image,2d,sparse,5,2,1,cpu_source,19953429,19953.429,cpu_us,,,,,,,2,2,1000,1000,4,1,92,0,block_random,1024
tile_sweep_publication,image,2d,sparse,5,2,1,gpu_source,2002,2.002,gpu_us,1,0,0,1,57460707,2,2,2,1000,1000,4,1,93,1,block_random,1024
tile_sweep_publication,image,2d,sparse,5,3,1,cpu_source,20055629,20055.629,cpu_us,,,,,,,2,2,1000,1000,4,1,94,2,block_random,1024
tile_sweep_publication,image,2d,sparse,5,3,1,gpu_source,2086,2.086,gpu_us,1,0,0,1,76718996,2,2,2,1000,1000,4,1,95,3,block_random,1024
tile_sweep_publication,image,2d,sparse,5,4,1,cpu_source,20008789,20008.789,cpu_us,,,,,,,2,2,1000,1000,4,1,96,0,block_random,1024
tile_sweep_publication,image,2d,sparse,5,4,1,gpu_source,2059,2.059,gpu_us,1,0,0,1,95977286,2,2,2,1000,1000,4,1,97,1,block_random,1024
tile_sweep_publication,image,2d,sparse,5,5,1,cpu_source,20145151,20145.151,cpu_us,,,,,,,2,2,1000,1000,4,1,98,2,block_random,1024
tile_sweep_publication,image,2d,sparse,5,5,1,gpu_source,2112,2.112,gpu_us,1,0,0,1,115235576,2,2,2,1000,1000,4,1,99,3,block_random,1024
tile_sweep_publication,image,2d,sparse,5,7,1,cpu_source,19953681,19953.681,cpu_us,,,,,,,2,2,1000,1000,4,1,100,0,block_random,1024
tile_sweep_publication,image,2d,sparse,5,7,1,gpu_source,2073,2.073,gpu_us,1,0,0,1,153752155,2,2,2,1000,1000,4,1,101,1,block_random,1024
tile_sweep_publication,image,2d,sparse,5,10,1,cpu_source,20117209,20117.209,cpu_us,,,,,,,2,2,1000,1000,4,1,102,2,block_random,1024
tile_sweep_publication,image,2d,sparse,5,10,1,gpu_source,2153,2.153,gpu_us,1,0,0,1,211527024,2,2,2,1000,1000,4,1,103,3,block_random,1024
